,Stint,Vuelta,PitIn,TiempoParadaAc,TiempoStint,Vueltas,Piloto,TiempoPilotoAc,TiempoParada,PitOut,NumEquipo,Equipo
126,12,701,49301.0,1818.0,1160.0,17,AITOR RINCON,6135.0,151.16799926757812,49453.0,6,HISPANO ALEMAN RACING TEAM
127,13,812,56936.0,1969.0,7483.0,111,AITOR RINCON,13619.0,151.2800006866455,57088.0,6,HISPANO ALEMAN RACING TEAM
128,14,821,57705.0,2120.0,617.0,9,SAMUEL GARCIA,13382.0,151.28800010681152,57856.0,6,HISPANO ALEMAN RACING TEAM
129,15,892,62657.0,2271.0,4800.0,71,SAMUEL GARCIA,18183.0,151.10099983215332,62808.0,6,HISPANO ALEMAN RACING TEAM
130,16,902,63481.0,2422.0,672.0,10,DIEGO PEREZ,15569.0,150.95400047302246,63632.0,6,HISPANO ALEMAN RACING TEAM
131,17,1011,70937.0,2574.0,7305.0,109,DIEGO PEREZ,22875.0,151.29700088500977,71088.0,6,HISPANO ALEMAN RACING TEAM
132,18,1087,76257.0,2725.0,5169.0,76,AITOR RINCON,18788.0,151.26600074768066,76409.0,6,HISPANO ALEMAN RACING TEAM
133,19,1096,77024.0,2876.0,615.0,9,SAMUEL GARCIA,18798.0,151.09099960327148,77175.0,6,HISPANO ALEMAN RACING TEAM
134,20,1105,77789.0,3027.0,614.0,9,JAVIER FERNANDEZ,14450.0,150.89299964904785,77940.0,6,HISPANO ALEMAN RACING TEAM
135,21,1124,79236.0,3178.0,1295.0,19,JAVIER FERNANDEZ,15746.0,151.5949993133545,79388.0,6,HISPANO ALEMAN RACING TEAM
136,22,1169,82457.0,3329.0,3069.0,45,JAVIER FERNANDEZ,18815.0,150.9419994354248,82608.0,6,HISPANO ALEMAN RACING TEAM
137,23,1226,86410.0,0.0,3802.0,57,DIEGO PEREZ,26677.0,0.0,0.0,6,HISPANO ALEMAN RACING TEAM
138,1,101,7010.0,153.0,7010.0,101,JOSE MANUEL FERNANDEZ,7010.0,153.14099884033203,7163.0,7,HISPANO ALEMAN PEMEBLA RACING
139,2,196,13822.0,307.0,6659.0,95,HARALD GRUNDNER,6659.0,154.15900039672852,13977.0,7,HISPANO ALEMAN PEMEBLA RACING
140,3,299,21138.0,460.0,7161.0,103,DANIEL ARROYO,7161.0,153.37900161743164,21291.0,7,HISPANO ALEMAN PEMEBLA RACING
141,4,379,26880.0,613.0,5588.0,80,JAVIER PALOMEQUE,5588.0,152.8740005493164,27033.0,7,HISPANO ALEMAN PEMEBLA RACING
142,5,457,32471.0,766.0,5437.0,78,JAVIER PALOMEQUE,11026.0,153.00799942016602,32624.0,7,HISPANO ALEMAN PEMEBLA RACING
143,6,479,34166.0,917.0,1542.0,22,JOSE MANUEL FERNANDEZ,8552.0,150.8080005645752,34316.0,7,HISPANO ALEMAN PEMEBLA RACING
144,7,557,39724.0,1068.0,5407.0,78,HARALD GRUNDNER,12067.0,151.4099998474121,39876.0,7,HISPANO ALEMAN PEMEBLA RACING
145,8,609,43478.0,1219.0,3602.0,52,JOSE MANUEL FERNANDEZ,12154.0,150.9419994354248,43629.0,7,HISPANO ALEMAN PEMEBLA RACING
146,9,619,44330.0,1371.0,700.0,10,DANIEL ARROYO,7861.0,151.28800010681152,44481.0,7,HISPANO ALEMAN PEMEBLA RACING
147,10,687,49230.0,1522.0,4749.0,68,DANIEL ARROYO,12611.0,151.49799919128418,49382.0,7,HISPANO ALEMAN PEMEBLA RACING
148,11,763,54648.0,1674.0,5266.0,76,JAVIER PALOMEQUE,16293.0,152.34199905395508,54801.0,7,HISPANO ALEMAN PEMEBLA RACING
149,12,816,58435.0,1825.0,3634.0,53,JOSE MANUEL FERNANDEZ,15789.0,150.503999710083,58585.0,7,HISPANO ALEMAN PEMEBLA RACING
150,13,863,61844.0,1976.0,3259.0,47,HARALD GRUNDNER,15326.0,151.50699996948242,61996.0,7,HISPANO ALEMAN PEMEBLA RACING
151,14,920,65976.0,2128.0,3980.0,57,HARALD GRUNDNER,19306.0,151.17499923706055,66127.0,7,HISPANO ALEMAN PEMEBLA RACING
152,15,972,69720.0,2279.0,3592.0,52,DANIEL ARROYO,16203.0,151.6560001373291,69871.0,7,HISPANO ALEMAN PEMEBLA RACING
153,16,982,70571.0,2431.0,699.0,10,JAVIER PALOMEQUE,16993.0,151.35300064086914,70723.0,7,HISPANO ALEMAN PEMEBLA RACING
154,17,1014,72946.0,2582.0,2222.0,32,JAVIER PALOMEQUE,19216.0,151.23900032043457,73097.0,7,HISPANO ALEMAN PEMEBLA RACING
155,18,1040,74905.0,2732.0,1808.0,26,JAVIER PALOMEQUE,21024.0,150.70299911499023,75056.0,7,HISPANO ALEMAN PEMEBLA RACING
156,19,1049,75684.0,2883.0,627.0,9,JOSE MANUEL FERNANDEZ,16417.0,151.003999710083,75835.0,7,HISPANO ALEMAN PEMEBLA RACING
157,20,1097,79160.0,3035.0,3324.0,48,JOSE MANUEL FERNANDEZ,19741.0,151.4650001525879,79311.0,7,HISPANO ALEMAN PEMEBLA RACING
158,21,1167,84162.0,3186.0,4851.0,70,DANIEL ARROYO,21054.0,151.1550006866455,84313.0,7,HISPANO ALEMAN PEMEBLA RACING
159,22,1178,85074.0,3338.0,760.0,11,HARALD GRUNDNER,20066.0,151.99099922180176,85226.0,7,HISPANO ALEMAN PEMEBLA RACING
160,23,1196,86421.0,0.0,1195.0,18,HARALD GRUNDNER,21261.0,0.0,0.0,7,HISPANO ALEMAN PEMEBLA RACING
161,1,109,7455.0,153.0,7455.0,109,TOM CHIAPPE,7455.0,153.11199951171875,7608.0,8,EIRIZ RACING PRO
162,2,228,15673.0,305.0,8064.0,119,SVEN BAUMBERGER,8064.0,152.03099822998047,15825.0,8,EIRIZ RACING PRO
163,3,343,23644.0,456.0,7818.0,115,ALEXIS BOURQUI,7818.0,151.76399993896484,23796.0,8,EIRIZ RACING PRO
164,4,427,29526.0,608.0,5730.0,84,TOM CHIAPPE,13186.0,151.71599960327148,29678.0,8,EIRIZ RACING PRO
165,5,453,31453.0,759.0,1774.0,26,SVEN BAUMBERGER,9839.0,151.20499992370605,31604.0,8,EIRIZ RACING PRO
166,6,466,32491.0,911.0,886.0,13,SVEN BAUMBERGER,10725.0,151.5359992980957,32642.0,8,EIRIZ RACING PRO
167,7,574,39959.0,1063.0,7317.0,108,ALEXIS BOURQUI,15135.0,152.04899978637695,40111.0,8,EIRIZ RACING PRO
168,8,688,47839.0,1214.0,7728.0,114,TOM CHIAPPE,20914.0,151.25799942016602,47991.0,8,EIRIZ RACING PRO
169,9,708,49350.0,1365.0,1358.0,20,SVEN BAUMBERGER,12084.0,151.04000091552734,49501.0,8,EIRIZ RACING PRO
170,10,729,50933.0,1516.0,1432.0,21,SVEN BAUMBERGER,13517.0,151.15800094604492,51084.0,8,EIRIZ RACING PRO
171,11,739,51769.0,1668.0,684.0,10,SVEN BAUMBERGER,14202.0,151.17600059509277,51920.0,8,EIRIZ RACING PRO
172,12,756,53078.0,1819.0,1158.0,17,SVEN BAUMBERGER,15360.0,150.9640007019043,53229.0,8,EIRIZ RACING PRO
173,13,882,61695.0,1971.0,8466.0,126,ALEXIS BOURQUI,23601.0,152.30500030517578,61848.0,8,EIRIZ RACING PRO
174,14,1010,70444.0,2122.0,8596.0,128,SVEN BAUMBERGER,23957.0,151.03300094604492,70595.0,8,EIRIZ RACING PRO
175,15,1139,79256.0,2273.0,8660.0,129,TOM CHIAPPE,29574.0,151.3080005645752,79407.0,8,EIRIZ RACING PRO
176,16,1148,80023.0,2424.0,616.0,9,ALEXIS BOURQUI,24218.0,150.97800064086914,80174.0,8,EIRIZ RACING PRO
177,17,1158,80851.0,2575.0,676.0,10,ALEXIS BOURQUI,24895.0,150.875,81002.0,8,EIRIZ RACING PRO
178,18,1168,81677.0,2726.0,674.0,10,ALEXIS BOURQUI,25570.0,150.9109992980957,81828.0,8,EIRIZ RACING PRO
179,19,1177,82441.0,2876.0,613.0,9,ALEXIS BOURQUI,26183.0,150.50200080871582,82592.0,8,EIRIZ RACING PRO
180,20,1188,83334.0,3027.0,741.0,11,SVEN BAUMBERGER,24698.0,150.5939998626709,83484.0,8,EIRIZ RACING PRO
181,21,1197,84093.0,3178.0,608.0,9,SVEN BAUMBERGER,25307.0,150.57200050354004,84243.0,8,EIRIZ RACING PRO
182,22,1207,84920.0,3328.0,677.0,10,SVEN BAUMBERGER,25984.0,150.82799911499023,85071.0,8,EIRIZ RACING PRO
183,23,1228,86439.0,0.0,1367.0,21,TOM CHIAPPE,30942.0,0.0,0.0,8,EIRIZ RACING PRO
184,1,12,898.0,151.0,898.0,12,DANIELE ANTRONACO,898.0,151.9389991760254,1050.0,9,PROJECT EQTOX
185,2,117,8171.0,304.0,7120.0,105,DANIELE ANTRONACO,8019.0,152.15700149536133,8323.0,9,PROJECT EQTOX
186,3,130,9213.0,456.0,889.0,13,DANIEL HERREROS,889.0,152.31800079345703,9365.0,9,PROJECT EQTOX
187,4,175,12450.0,609.0,3084.0,45,DANIEL HERREROS,3974.0,152.9360008239746,12603.0,9,PROJECT EQTOX
188,5,280,19803.0,762.0,7199.0,105,FEDERICO SEGUNDO,7199.0,153.33300018310547,19956.0,9,PROJECT EQTOX
